Year,Population,Violent Crime rate,Murder and nonnegligent manslaughter rate,Legacy rape rate /1,Revised rape rate /2,Robbery rate,Aggravated assault rate
1965,18073000,325.4,4.6,12.8,,155.9,152
1966,18258000,342.6,4.8,13.4,,164.8,159.6
1967,18336000,409.7,5.4,14.5,,219.3,170.5
1968,18113000,543.9,6.5,14,,330.5,192.9
1969,18321000,577.9,7.2,15.8,,353.4,201.4
1970,18190740,685,7.9,15.8,,446.1,215.2
1971,18391000,788.7,9.9,17.5,,531.1,230.1
1972,18366000,754.3,11,22.9,,470.4,250.1
1973,18265000,741.7,11.2,26.6,,442.3,261.6
1974,18111000,803,10.6,28.9,,479.3,284.1
1975,18120000,856.4,11,28.1,,516,301.3
1976,18084000,868.1,10.9,25.8,,529.3,302.1
1977,17924000,831.8,10.7,29.4,,472.6,319.1
1978,17748000,841,10.3,29.1,,472.1,329.5
1979,17649000,917.4,11.9,30.6,,529.6,345.3
1980,17506690,1029.5,12.7,30.9,,641.3,344.6
1981,17594000,1069.6,12.3,31.1,,684,342.1
1982,17659000,990.1,11.4,29.2,,610.7,338.7
1983,17667000,914.1,11.1,30,,536.5,336.5
1984,17735000,914.3,10.1,31.6,,506.9,365.8
1985,17783000,929.9,9.5,32.1,,504.4,383.9
1986,17772000,985.9,10.7,30.5,,514.1,430.6
1987,17825000,1008.1,11.3,31.1,,503.3,462.4
1988,17898000,1097.3,12.5,30.6,,544.4,509.8
1989,17950000,1131.2,12.5,29.2,,579.3,510.1
1990,17990455,1180.9,14.5,29.8,,624.7,512
1991,18058000,1163.9,14.2,28.2,,622.1,499.4
1992,18119000,1122.1,13.2,28.4,,596.9,483.5
1993,18197000,1073.5,13.3,27.5,,561.2,471.5
1994,18169000,965.6,11.1,25.9,,476.7,451.9
1995,18136000,841.9,8.5,23.7,,399.7,410
1996,18185000,727,7.4,23,,340,356.7
1997,18137000,688.6,6,22.5,,309.3,350.8
1998,18175000,637.8,5.1,21.1,,270.3,341.3
1999,18196601,588.8,5,19.6,,240.8,323.5
2000,18976457,553.9,5,18.6,,213.6,316.7
2001,19084350,513.6,5,18.6,,191.5,298.5
2002,19134293,496.6,4.8,20.3,,191.6,280
2003,19212425,465.8,4.9,19.6,,186.3,255
2004,19280727,440.4,4.6,18.7,,173.8,243.3
2005,19315721,444,4.5,18.8,,182.1,238.9
2006,19306183,435.2,4.8,16.4,,178.5,235.5
2007,19297729,414.4,4.2,15.2,,161.1,233.9
2008,19490297,397.9,4.3,14.4,,163.1,216.1
2009,19541453,384.4,4,13.2,,144,223.1
2010,19395206,394.4,4.5,14.4,,147.6,227.9
2011,19501616,397.2,3.9,14.1,,145.7,233.5
2012,19576125,406.3,3.5,14.5,,146.3,242
2013,19695680,393.8,3.3,13.1,18,138.3,234.2
2014,19746227,381.8,3.1,19.8,27.5,121.8,229.4
